firma,street,plz,city,country,country_code,local_phone_number,anrede,vorname,nachname
Abschleppdienst Arnolds,Völlesbruchstrasse 19,52152,Simmerath,DE,49,1778754883,,,
AAS-Fink GmbH,Morsbach 39,42857,Remscheid,DE,49,1722086056,,,
Allfolia Deutschland GmbH,Morsbach 39,42857,Remscheid,DE,49,1734636476,,,
Autohaus Hentschel GmbH,Vahrenwalder Str. 141,30165,Hannover,DE,49,1786221169,,,
Autohaus Schmohl GmbH,Potsdamer Str. 175,14469,Potsdam,DE,49,1604666050,,,
"Autohaus Stürmeyer, Inh. Juri Düsterhoft",Hauptstraße 19,26897,Esterwegen,DE,49,1751165373,,,
"Autohaus Thomas Thies, Inhaber: Thomas Thies",Hauptstr. 12,24641,Stuvenborn,DE,49,1735330785,,,
Autohaus Musberg GmbH,Steinstr. 2,70771,Leinfelden-Echterdingen,DE,49,1750397296,,,
Autohaus Siegmar GmbH,Anton-Erhardt-Straße 5,9117,Chemnitz,DE,49,1799703167,,,
Klingler Fahrzeugtechnik AG,Galgenried 2,6370,Stans,DE,49,1748987808,,,
Autohaus Zückner GmbH & Co. KG,Gildestraße 5,91154,Roth,DE,49,1769142078,,,
König Wilhelm Autoteile - Einbrodt & Schubert GbR,Dahlweg 122,48153,Münster,DE,49,1600795434,,,
Autoverwertung Kabashi,Eibseeweg 1A,70378,Stuttgart,DE,49,1780099678,,,
Autoverwertung Peter Pramschüfer,Donaustaufer Str. 214,93055,Regensburg,DE,49,1789135039,,,
AVF Autoverwertung Franken GmbH,Am Kiefernschlag 22,91126,Schwabach,DE,49,1770634678,,,
Autoverwertung Hocker GmbH,Daimlerstraße 10,68799,Reilingen,DE,49,1733091370,,,
Schindelar Autoverwertung,Valentin-Linhof-Straße 14,81829,München,DE,49,1739990273,,,
Six Cars GbR,Parkring 14,4158,Leipzig,DE,49,1779716592,,,
Auto Böhler,Ottostraße 6,76227,Karlsruhe,DE,49,1790018238,,,
EJP Frank Bach & Katarzyna Bach GbR,Elisabethstrasse 24,2826,Görlitz,DE,49,1760699874,,,
Markus Ruge GmbH | bear-lock.de,Romain-Rolland-Str. 62,13089,Berlin,DE,49,1774376638,,,
BREMSKERL-REIBBELAGWERKE Emmerling GMBH & CO. KG,Brakenhof 7,31629,Estorf,DE,49,4578976173,,,
Werner Bölling GmbH,Klutestr. 3,59063,Hamm,DE,49,1521029742,,,
ratioparts® Ersatzteile-Vertriebs GmbH,IPAS Industriegebiet - Barentsstrasse 17,53881,Euskirchen,DE,49,1522217051,,,
Autoteile J. Heitzmann GmbH,"C7 , 7b",68159,Mannheim,DE,49,1794935836,,,
Youngtimerparts Hausen,Mindelheimerstr. 4,87775,Hausen,DE,49,1770859851,,,
W+N Autoglas GmbH,Eisenstr. 47,44145,Dortmund,DE,49,1776659132,,,
Carfresh-Husum,Gutenbergstraße 28,25813,Husum,DE,49,1747777730,,,
Robert Neugebauer & Sohn,Atzendorfer Straße 4a-6,39418,Staßfurt,DE,49,1526516945,,,
Autohaus Peene GmbH,An den Bäckerwiesen 1,17489,Greifswald,DE,49,1769029428,,,
Kfz-Sachverständigen-Büro Heinz-Jürgen Petrikowski,Rosental 100,47918,Tönisvorst,DE,49,1792236285,,,
KFZ-Zulassungsdienst Marisol GmbH,Keupstraße 110,51063,Köln,DE,49,1609647354,,,
GTÜ Gesellschaft für Technische Überwachung mbH,Vor dem Lauch 25,70567,Stuttgart,DE,49,1520780234,,,
Ing.-Büro Dieter Walz GbR,Meitnerring 4,79589,Binzen bei Lörrach,DE,49,1607443158,,,
MotoPro GmbH,Werner-Heisenberg-Str 6,86156,Augsburg,DE,49,1723584620,,,
MCR Motorradcenter Regensburg GmbH,Geretsrieder Str. 7,93073,Neutraubling,DE,49,5820795177,,,
Jade-Dienst GmbH,Schleusenstraße 22 A,26382,Wilhelmshaven,DE,49,1778044748,,,
Lohmann CT Line Nutzfahrzeuge UG,Antoniter Straße 20,47551,Bedburg-Hau,DE,49,1735400152,,,
OmSa GmbH Güstrow,Lagerweg 8,18273,Güstrow,DE,49,1771520076,,,
MA - Reifendienst,Bresslauer Ring 15,91438,Bad Windsheim,DE,49,2925473176,,,
proReifen.com GmbH,Drosselweg 23,49201,Dissen,DE,49,1771354319,,,
A. Koch GmbH,An der Wiesenmühle 7,9224,"Chemnitz, OT Grüna",DE,49,1787148441,,,
Hubert Heitmann GmbH,Bürgerstraße 9,21514,Büchen,DE,49,1794465706,,,
City-Taxi Inh. Armin Reitsam,An der Zeisigburg 14,86609,Donauwörth,DE,49,1742072992,,,
"Taxi Krümmel, Inh. Hans Jürgen Krümmel",Bonner Ring 33a,50374,Erftstadt,DE,49,1766591159,,,
"Alf Taxi, Inhaber: Torsten Sitte",Jeßnitzerstr. 3,6842,Dessau - Roßlau,DE,49,1773202944,,,
"Personenbeförderung Portobello Jonda, Inhaber: Günter Jonda",Flughafenstr. 33,33142,Büren,DE,49,1732506737,,,
TAXI Service & Team,Bretzinger Steige 3,74523,Schwäbisch Hall / Steinbach,DE,49,1799890329,,,
Taxi H. ten Brink,Königsberger Str. 2,49504,Lotte,DE,49,1736902022,,,
BST-Sutter GmbH,Wogenbrunn 1,79244,Münstertal,DE,49,1748026295,,,
Taxi Korf,Kohharder Weg 16,25938,Wyk auf Föhr,DE,49,1708399374,,,
Taxi-Fuhrunternehmen Dietmar Ludwig,Lychener Str. 8,17268,Templin,DE,49,1721086976,,,
KFZ-Meisterbetrieb Heiko Bunk,Perleberger Straße 27,16909,Wittstock/Dosse,DE,49,1779729336,,,
motormobile Lambio & Rodermund GmbH,Metternichstraße 32,54292,Trier,DE,49,1795517077,,,
"Firma Gerhard Seeländer, Inhaber: Uwe Seeländer",Scharfenberger Str. 17,1139,Dresden,DE,49,1794892131,,,
Gruber GmbH Camp+Car,Weiherstrasse 2,85354,Freising - Achering,DE,49,9820250160,,,
Autolackierung Langbehn OHG,Rungestr. 6,24537,Neumünster,DE,49,4796156160,,,
PW Sachsenlack,Gewerbegebiet Ockrilla 4,1689,Niederau / OT Ockrilla,DE,49,1702445015,,,
Bauer Caravaning,Waldstraße 4,78187,Geisingen Ortsteil Gutmadingen,DE,49,1731589470,,,
Wanner Caravaning GmbH,Tübinger Str. 28,72144,Dusslingen/Tübingen,DE,49,1788234847,,,
"Caravan-Park-Elstorf, Inh. Sascha Schacht",Lindenstrasse 36,21629,Neu Wulmstorf,DE,49,1523788743,,,
Caravan Center Kuhfuß GmbH,Vordere Aue 2,6774,Muldestausee OT Friedersdorf,DE,49,1748727753,,,
Autolackiererei Loui Greco,Karl-von-Linde- Str. 5,95447,Bayreuth,DE,49,1603889856,,,
Löffler Gerüstbau GmbH,Mattenweg 15,79274,St. Märgen,DE,49,1729432073,,,
Wilhelm-Bau Bauunternehmen GmbH,Didierstraße 19,35460,Staufenberg,DE,49,1761765671,,,
Allround Montage Bernd Kempter,Friedenstraße 14,88317,Aichstetten,DE,49,1784798800,,,
Stafemo GmbH,Am Schießstand 26,98544,Zella-Mehlis,DE,49,9545208160,,,
"Fensterbau Neumann e.K., Inh. Rudolf Dieter Neumann",Ruhrstr. 21,35066,Frankenberg,DE,49,1720673195,,,
Baugeschäft Ufert,Werftstraße 19,18439,Stralsund,DE,49,1798775413,,,
Kommanditgesellschaft S.H.G. GmbH & Co.,Stadenser Weg 20 + 22,29525,Uelzen,DE,49,172785895,,,
PRB-Spezialtiefbau GmbH,Gewerbepark Damsdorf 36,14542,Kloster Lehnin OT Damsdorf,DE,49,1769709369,,,
Familienbildungsstätte der GEMEINNÜTZIGEN Lübeck,Jürgen-Wullenwever-Strasse 1,23566,Lübeck,DE,49,1757646100,,,
Die Bauprofis Vertriebs GmbH,Happurger Straße 62,90482,Nürnberg,DE,49,1723731310,,,
"Hartmut Rüffert Projektentwicklung, Inh. Hartmut Rüffert",Bahnhofstraße 42,4654,Frohburg,DE,49,1768210485,,,
GrünBau gGmbH,Unnaer Straße 44,44145,Dortmund,DE,49,1739872218,,,
Praxis Dr. Hauffe,Albersstraße 16,28209,Bremen,DE,49,1768118652,,,
WERNER Objekteinrichtungen GmbH,Strutweg 15 / Unterweißenbrunn,97653,Bischofsheim,DE,49,1738026985,,,
"Grabmale Werner Teschner, Inh. Helene Teschner",Langenbeker Friedhofsweg 9,21079,Hamburg,DE,49,1737774443,,,
"Bestattungshaus Hans-Jürgen Barz, Inhaber: Hans-Jürgen Barz",Torgauer Strasse 38,4916,Herzberg (Elster),DE,49,1767532745,,,
"Mahlmann Bestattungen, Inh. Jörg Mahlmann",Schulstr. 9,38312,Börßum,DE,49,1749296946,,,
Bestattungen Hermann,Schammenstraße 27,89129,Langenau,DE,49,1743884150,,,
Bestattungsinstitut Detlev Will,Torgauer Str. 62,4916,Herzberg,DE,49,1797078937,,,
"TrauerLichtung - Bestattungen in Frauenhänden, Claudia Bartholdi e. K.",Alte Holstenstraße 84,21029,Hamburg,DE,49,4725521172,,,
Bestattungen Kranjec,Böblinger Straße 107,70199,Stuttgart,DE,49,1794432414,,,
Bestattungsinstitut B. Schmid GmbH,Lehlestraße 3,73035,Göppingen-Faurndau,DE,49,1784513261,,,
Bestattungsinstitut Hunzinger,Schaffhauser Straße 11,78532,Tuttlingen,DE,49,1601428593,,,
Bestattungen Ulrich Baumung,Amselstr. 3a,56305,Puderbach,DE,49,1601476542,,,
Ittner Blitzschutz GmbH,Widdersdorfer Straße 260,50933,Köln,DE,49,1726898737,,,
Blitzschutz-Bau Stuttgart GmbH,Schönbuchstr. 30/1,72631,Aichtal-Neuenhaus,DE,49,1796791091,,,
Robert Rothe Feuerschutz GmbH,Am Veringhof 13,21107,Hamburg,DE,49,1767473728,,,
Darpe Bürocenter GmbH & Co. KG,Beckumer Str. 3,48231,Warendorf,DE,49,1764571625,,,
"INTERCENT Fachübersetzungsdienst in Hagen, Inh.: Esmer Öz",Elbersufer 12,58095,Hagen,DE,49,1783848268,,,
ProjectLine GmbH & Co. KG,Waldstraße 23,82049,Pullach im Isartal,DE,49,1739114497,,,
Fremdsprachenservice International Rudolf Behrens,Kleiststr. 12,53819,Neunkirchen-Seelscheid,DE,49,1766952990,,,
TEAM Übersetzungen GmbH,Hauptstraße 8,70563,Stuttgart,DE,49,1720738396,,,
Übersetzungsdienst Elvira Rosin,Ahornallee 32,67697,Otterberg,DE,49,1751349455,,,
